Week_Num,Week_Title,Exe_Title,Act_Type,Question_Word,Options_Meaning,Answer
1,WEEK 1: MY NEW SCHOOL,Vocabulary: School Things,vocab,Compass,Cái compa,
1,WEEK 1: MY NEW SCHOOL,Vocabulary: School Things,vocab,Calculator,Máy tính cầm tay,
1,WEEK 1: MY NEW SCHOOL,Vocabulary: School Things,vocab,Backpack,Ba lô,
1,WEEK 1: MY NEW SCHOOL,Grammar: Present Simple,quiz,He ___ to school by bus.,"go, goes, going",goes
1,WEEK 1: MY NEW SCHOOL,Grammar: Present Simple,quiz,They ___ English on Monday.,"study, studies, studying",study
1,WEEK 1: MY NEW SCHOOL,Listening: School Tour,video,https://www.youtube.com/watch?v=sample1,,
2,WEEK 2: MY HOME,Vocabulary: Types of houses,vocab,Town house,Nhà phố,
2,WEEK 2: MY HOME,Vocabulary: Types of houses,vocab,Country house,Nhà ở nông thôn,
2,WEEK 2: MY HOME,Vocabulary: Types of houses,vocab,Villa,Biệt thự,
2,WEEK 2: MY HOME,Grammar: Prepositions of place,quiz,The cat is ___ the table and the chair.,"in, on, between",between
2,WEEK 2: MY HOME,Grammar: Prepositions of place,quiz,The picture is ___ the wall.,"in, on, under",on
2,WEEK 2: MY HOME,Speaking: Describe your house,video,https://www.youtube.com/watch?v=sample2,,
